./solvers/minotaur-bnb-nlw/JuniperLibSm/graphpart_3pm-0344-0344.stdout:DATA, graphpart_3pm-0344-0344.jl, 145, 144, 0, 49, Min, -48.0, NaN, Optimal, 399.9408440589905
./solvers/minotaur-bnb-nlw/JuniperLibSm/bchoco08.stdout:DATA, bchoco08.jl, 169, 9, 0, 191, Max, 0.9819287356596076, NaN, Optimal, 45.12424993515015
./solvers/minotaur-bnb-nlw/JuniperLibSm/graphpart_3pm-0444-0444.stdout:DATA, graphpart_3pm-0444-0444.jl, 193, 192, 0, 65, Min, -65.0, NaN, UserLimit, 3606.301064968109
./solvers/minotaur-bnb-nlw/JuniperLibSm/sfacloc1_4_80.stdout:DATA, sfacloc1_4_80.jl, 356, 62, 0, 2235, Min, 7.970759649911465, NaN, Optimal, 23.974853992462158
./solvers/minotaur-bnb-nlw/JuniperLibSm/squfl020-150.stdout:DATA, squfl020-150.jl, 3021, 20, 0, 3151, Min, 592.943941787824, NaN, UserLimit, 3632.5760440826416
./solvers/minotaur-bnb-nlw/JuniperLibSm/squfl020-040.stdout:DATA, squfl020-040.jl, 821, 20, 0, 841, Min, 209.25484599833857, NaN, Optimal, 47.12893295288086
./solvers/minotaur-bnb-nlw/JuniperLibSm/multiplants_mtg1c.stdout:DATA, multiplants_mtg1c.jl, 245, 120, 0, 319, Max, 683.9713789091309, NaN, UserLimit, 3602.9248270988464
./solvers/minotaur-bnb-nlw/JuniperLibSm/o7_ar3_1.stdout:DATA, o7_ar3_1.jl, 113, 0, 42, 270, Min, 163.37909269826028, NaN, UserLimit, 3602.358407974243
./solvers/minotaur-bnb-nlw/JuniperLibSm/feedtray.stdout:DATA, feedtray.jl, 98, 7, 0, 92, Min, -13.406005569458655, NaN, Optimal, 0.3941969871520996
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_pooling_dt4.stdout:DATA, crudeoil_pooling_dt4.jl, 5063, 1326, 0, 7699, Max, NaN, NaN, UserLimit, 3670.161942958832
./solvers/minotaur-bnb-nlw/JuniperLibSm/csched2.stdout:DATA, csched2.jl, 401, 308, 0, 138, Min, -159193.49920580443, NaN, UserLimit, 3602.8230288028717
./solvers/minotaur-bnb-nlw/JuniperLibSm/nuclear14a.stdout:DATA, nuclear14a.jl, 993, 600, 0, 634, Min, 0, NaN, Infeasible, 0.31284189224243164
./solvers/minotaur-bnb-nlw/JuniperLibSm/edgecross14-058.stdout:DATA, edgecross14-058.jl, 183, 182, 0, 1457, Min, 353.00000000000415, NaN, UserLimit, 3602.32572388649
./solvers/minotaur-bnb-nlw/JuniperLibSm/synheat.stdout:DATA, synheat.jl, 57, 12, 0, 65, Min, 154997.32393558163, NaN, Optimal, 0.9852371215820312
./solvers/minotaur-bnb-nlw/JuniperLibSm/nuclear25.stdout:DATA, nuclear25.jl, 1679, 625, 0, 1304, Min, -1.1205178769442472, NaN, UserLimit, 231.68189311027527
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_lee3_10.stdout:DATA, crudeoil_lee3_10.jl, 2561, 140, 0, 5822, Max, NaN, NaN, UserLimit, 3704.5714988708496
./solvers/minotaur-bnb-nlw/JuniperLibSm/heatexch_spec2.stdout:DATA, heatexch_spec2.jl, 77, 16, 0, 91, Min, 634976.3167674065, NaN, Optimal, 7.794090032577515
./solvers/minotaur-bnb-nlw/JuniperLibSm/transswitch0118p.stdout:DATA, transswitch0118p.jl, 1240, 179, 0, 2480, Min, 129467.48445240287, NaN, Optimal, 36.00892186164856
./solvers/minotaur-bnb-nlw/JuniperLibSm/watercontamination0303r.stdout:DATA, watercontamination0303r.jl, 385, 14, 0, 557, Min, 424.5440978571064, NaN, Optimal, 1353.5493688583374
./solvers/minotaur-bnb-nlw/JuniperLibSm/nuclear10b.stdout:DATA, nuclear10b.jl, 23827, 10920, 0, 24972, Min, 0, NaN, Infeasible, 5.24077296257019
./solvers/minotaur-bnb-nlw/JuniperLibSm/gasnet_al1.stdout:DATA, gasnet_al1.jl, 725, 136, 0, 831, Min, 0, NaN, Infeasible, 0.20953106880187988
./solvers/minotaur-bnb-nlw/JuniperLibSm/space960.stdout:DATA, space960.jl, 5538, 0, 960, 6498, Min, 8.404999915977992e6, NaN, UserLimit, 3603.072454929352
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_pooling_ct1.stdout:DATA, crudeoil_pooling_ct1.jl, 311, 80, 0, 566, Min, 216987.49902855625, NaN, UserLimit, 3600.8108439445496
./solvers/minotaur-bnb-nlw/JuniperLibSm/ibs2.stdout:DATA, ibs2.jl, 3011, 1500, 0, 1822, Min, 19.485583924861416, NaN, UserLimit, 3600.640623807907
./solvers/minotaur-bnb-nlw/JuniperLibSm/nuclear25b.stdout:DATA, nuclear25b.jl, 1684, 650, 0, 1910, Min, 0, NaN, Infeasible, 0.3038330078125
./solvers/minotaur-bnb-nlw/JuniperLibSm/genpooling_meyer15.stdout:DATA, genpooling_meyer15.jl, 735, 352, 0, 769, Min, 943734.0213370906, NaN, Optimal, 570.6368188858032
./solvers/minotaur-bnb-nlw/JuniperLibSm/gastrans582_warm15.stdout:DATA, gastrans582_warm15.jl, 2187, 0, 250, 3733, Min, 0, NaN, Infeasible, 0.3351149559020996
./solvers/minotaur-bnb-nlw/JuniperLibSm/sfacloc1_2_90.stdout:DATA, sfacloc1_2_90.jl, 200, 30, 0, 349, Min, 17.891542334056716, NaN, Optimal, 2.0995380878448486
./solvers/minotaur-bnb-nlw/JuniperLibSm/heatexch_spec3.stdout:DATA, heatexch_spec3.jl, 261, 60, 0, 251, Min, NaN, NaN, UserLimit, 3601.534600019455
./solvers/minotaur-bnb-nlw/JuniperLibSm/squfl020-050.stdout:DATA, squfl020-050.jl, 1021, 20, 0, 1051, Min, 230.20211589754575, NaN, Optimal, 257.15847086906433
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd15-04persp.stdout:DATA, sssd15-04persp.jl, 89, 72, 0, 48, Min, 0, NaN, Infeasible, 0.2305769920349121
./solvers/minotaur-bnb-nlw/JuniperLibSm/eg_disc_s.stdout:DATA, eg_disc_s.jl, 8, 0, 4, 28, Min, 6.839043154434367, NaN, Optimal, 22.6868679523468
./solvers/minotaur-bnb-nlw/JuniperLibSm/edgecross20-040.stdout:DATA, edgecross20-040.jl, 381, 380, 0, 4561, Min, 57.0000000000014, NaN, Optimal, 95.69040203094482
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd20-04persp.stdout:DATA, sssd20-04persp.jl, 109, 92, 0, 53, Min, 0, NaN, Infeasible, 0.23702406883239746
./solvers/minotaur-bnb-nlw/JuniperLibSm/sfacloc1_3_80.stdout:DATA, sfacloc1_3_80.jl, 294, 62, 0, 2162, Min, 8.608684466500792, NaN, Optimal, 15.142926931381226
./solvers/minotaur-bnb-nlw/JuniperLibSm/fo9_ar25_1.stdout:DATA, fo9_ar25_1.jl, 181, 0, 72, 436, Min, NaN, NaN, UserLimit, 3602.0986320972443
./solvers/minotaur-bnb-nlw/JuniperLibSm/fo8_ar4_1.stdout:DATA, fo8_ar4_1.jl, 145, 0, 56, 348, Min, 49.30230991311226, NaN, UserLimit, 3602.0081899166107
./solvers/minotaur-bnb-nlw/JuniperLibSm/gams01.stdout:DATA, gams01.jl, 146, 110, 0, 1269, Min, 23557.201054228895, NaN, UserLimit, 3820.358551979065
