./solvers/juniper/JuniperLib/ex1223a.stdout:DATA, ex1223a.jl,8,4,0,10, Min,4.5795823627783,4.5795823627783, Optimal,0.018095016479492
./solvers/juniper/JuniperLib/ex1223b.stdout:DATA, ex1223b.jl,8,4,0,10, Min,4.57958237008029,4.57958237008029, Optimal,0.426961898803711
./solvers/juniper/JuniperLib/ex1225.stdout:DATA, ex1225.jl,9,6,0,11, Min,30.9999999317646,30.9999999317646, Optimal,1.21545791625977
./solvers/juniper/JuniperLib/ex1233.stdout:DATA, ex1233.jl,53,12,0,65, Min,155010.671249535,155010.671249535, Optimal,2.2363920211792
./solvers/juniper/JuniperLib/ex1243.stdout:DATA, ex1243.jl,69,16,0,97, Min,98519.0114789746,98519.0114789746, Optimal,5.09462904930115
./solvers/juniper/JuniperLib/ex1244.stdout:DATA, ex1244.jl,96,23,0,130, Min,87639.277630119,87639.277630119, Optimal,6.39248085021973
./solvers/juniper/JuniperLib/ex1252.stdout:DATA, ex1252.jl,40,15,0,44, Min,128893.740550677,128893.740550677, Optimal,12.6565408706665
./solvers/juniper/JuniperLib/ex1263.stdout:DATA, ex1263.jl,93,72,0,56, Min,19.6000000028132,19.5999999559432, Optimal,15.9046728610992
./solvers/juniper/JuniperLib/ex1263a.stdout:DATA, ex1263a.jl,25,4,20,36, Min,19.5999999954286,19.5999999954286, Optimal,4.79979920387268
./solvers/juniper/JuniperLib/ex1264.stdout:DATA, ex1264.jl,89,68,0,56, Min,8.59999999025007,8.59999999025007, Optimal,246.388295173645
./solvers/juniper/JuniperLib/ex1264a.stdout:DATA, ex1264a.jl,25,4,20,36, Min,9.59999994968242,9.59999940451049, Optimal,179.65896320343
./solvers/juniper/JuniperLib/ex1265.stdout:DATA, ex1265.jl,131,100,0,75, Min,10.6000000038702,10.6000000011673, Optimal,214.244518995285
./solvers/juniper/JuniperLib/ex1265a.stdout:DATA, ex1265a.jl,36,5,30,45, Min,10.6000000040524,10.6000000040524, Optimal,2.48821496963501
./solvers/juniper/JuniperLib/ex1266.stdout:DATA, ex1266.jl,181,138,0,96, Min,16.3000000164568,16.3000000164568, Optimal,6.81983590126038
./solvers/juniper/JuniperLib/ex1266a.stdout:DATA, ex1266a.jl,49,6,42,54, Min,16.3000000031321,16.3000000031321, Optimal,3.89479994773865
./solvers/juniper/JuniperLib/ex3.stdout:DATA, ex3.jl,33,8,0,32, Min,68.0097386795044,68.0097386795044, Optimal,0.576755046844482
./solvers/juniper/JuniperLib/ex3pb.stdout:DATA, ex3pb.jl,33,8,0,32, Min,68.0097386797061,68.0097386797061, Optimal,0.577739000320435
./solvers/juniper/JuniperLib/ex4.stdout:DATA, ex4.jl,37,25,0,31, Min,-8.06419627343613,-8.06419627343613, Optimal,1.76889610290527
./solvers/juniper/JuniperLib/fac1.stdout:DATA, fac1.jl,23,6,0,19, Min,160912612.348397,160912612.348397, Optimal,4.12629795074463
./solvers/juniper/JuniperLib/fac2.stdout:DATA, fac2.jl,67,12,0,34, Min,331837497.894903,331837497.894903, Optimal,7.08938789367676
./solvers/juniper/JuniperLib/fac3.stdout:DATA, fac3.jl,67,12,0,34, Min,31982309.8396984,31982309.8396984, Optimal,3.17373180389404
./solvers/juniper/JuniperLib/faclay20h.stdout:DATA, faclay20h.jl,191,190,0,2281, Min,16432.99919308,0, Optimal,1.47569298744202
./solvers/juniper/JuniperLib/feedtray.stdout:DATA, feedtray.jl,98,7,0,92, Min,-13.4060055624978,0, Optimal,1.15370607376099
./solvers/juniper/JuniperLib/feedtray2.stdout:DATA, feedtray2.jl,88,36,0,284, Min,0, NaN, Infeasible,26.3343210220337
./solvers/juniper/JuniperLib/fin2bb.stdout:DATA, fin2bb.jl,589,175,0,619, Min,0, NaN, Infeasible,44.725282907486
./solvers/juniper/JuniperLib/FLay02H.stdout:DATA, FLay02H.jl,47,4,0,52, Min,37.9473316713358,37.9473316713358, Optimal,0.644075870513916
./solvers/juniper/JuniperLib/FLay02M.stdout:DATA, FLay02M.jl,15,4,0,12, Min,37.9473317897002,37.9473317897002, Optimal,0.475861787796021
./solvers/juniper/JuniperLib/FLay03H.stdout:DATA, FLay03H.jl,123,12,0,145, Min,48.9897943932552,48.9897943932552, Optimal,9.98419094085693
./solvers/juniper/JuniperLib/FLay03M.stdout:DATA, FLay03M.jl,27,12,0,25, Min,48.9897946776734,48.9897946776734, Optimal,3.32031106948853
./solvers/juniper/JuniperLib/FLay04H.stdout:DATA, FLay04H.jl,235,24,0,283, Min,54.4058816579455,54.4049121809076, Optimal,222.097769021988
./solvers/juniper/JuniperLib/FLay04M.stdout:DATA, FLay04M.jl,43,24,0,43, Min,54.4058818568341,54.4049124013781, Optimal,70.4705641269684
./solvers/juniper/JuniperLib/FLay05H.stdout:DATA, FLay05H.jl,383,40,0,466, Min,64.4980610930742,59.9999995284278, UserLimit,3600.11520504951
./solvers/juniper/JuniperLib/FLay06H.stdout:DATA, FLay06H.jl,567,60,0,694, Min, NaN,57.5206509803008, UserLimit,3600.65305495262
./solvers/juniper/JuniperLib/FLay06M.stdout:DATA, FLay06M.jl,87,60,0,94, Min, NaN,61.3582468903654, UserLimit,3600.01993608475
